Question,A,B,C,D,E,index,Answer,explaination
 Which of the following profile is associated with pri - mary hyperparathyroidism?,A. Increased levels of ionized calcium and decreased levels of PTH,B. Decreased levels of ionized calcium and decreased levels of parathyroid stimulating hormone (PTH),C. Increased levels of ionized calcium and increased levels of parathyroid stimulating hormone (PTH),D. Decreased levels of ionized calcium and increased levels of PTH,E. Anyone of the above with primary hypocalcemia,497.0,C.  Increased levels of ionized calcium and,"increased levels of parathyroid stimulating hormone (PTH) Primary hyperparathyroidism is a disorder that involves one or more of the parathyroid glands. Over secretion of parathyroid hormone causes hypercalcemia. Primary hyperparathyroidism is most commonly caused by an adenoma (80–95%), diffuse hyperplasia (10– 15%), and rarely <  1% parathyroid cancer. The vast majority of patients present with asymptomatic hyper - calcemia. Symptoms are related to the elevated calcium, and include kidney stones, weakness and fatigue, cogni - tive impairment. Treatment is surgery to remove the abnormal parathyroid tissue."
 A 60-year-old female has a serum calcium of 12  mg/ dL.  Neck exploration demonstrates three enlarged glands. What is the diagnosis?,A. Parathyroid adenoma,B. Parathyroid hyperplasia,C. Parathyroid carcinoma,D. Wermer’s syndrome,E. Sipple’s syndrome,498.0,B. Parathyroid hyperplasia,"Parathyroid hyperplasia is common in females between fifth to sixth decades of life. They may be asymptomatic or present with lethargy, weakness, depression, constipation, polydipsia. They are responsi - ble for approximately 15% of the cases of hyperparathy - roidism. Average serum calcium is high (more than the upper limit of calcium 10.5 mg/dL). Operative findings show 2 or more glands enlarged and may be quite asym - metrical. Cut surface shows homogeneous appearance. Microscopically, it usually involves chief cells. Water clear cell hyperplasia is rare and associated with a very high serum calcium."
An 8-year-old girl presents with a 1 cm red nodule on her upper thigh. She noticed this nodule 8 weeks ago. Biopsy is done and microscopic picture shows spindle shaped pleomorphic melanocytes in the epidermal nests. What is the diagnosis?,A. Spitz nevus,B. Melanocytic nevus,C. Congenital nevus,D. Dysplastic nevus,E. Melanoma,499.0,A. Spitz nevus,"Spitz nevus is common in children. It is a symmetric well-circumscribed melanocytic lesion arising in the epidermis and extending into the dermis. Patients usu - ally present with small, pink, or reddish nodules usually on the head and neck region. Light microscopy shows large epithelioid or spindle shaped pleomorphic melano - cytes with eosinophilic cytoplasm."
A 6-year-old male child is brought to the pediatrician office with symptoms of severe pruritus on the sides and webs of the fingers. Pruritus is worse at night. What is the diagnosis?,A. Allergic contact dermatitis,B. Atopic dermatitis,C. Irritant contact dermatitis,D. Scabies,E. Pediatric atopic dermatitis,500.0,D. Scabies,"Scabies is an infection of the skin caused by Sarcoptes scabiei . It can infect individuals of any age. Classical symptoms of scabies include pruritic, erythematous lesions. These lesions are often found on the hands and in between the fingers. Patients usually present with severe pruritus which is worst in the night."
Characteristic racquet-shaped intracytoplasmic granules known as Birbeck granules are seen in which of the fol - lowing cells?,A. Epithelioid,B. Melanocytes,C. Langerhans cells,D. Monocytes,E. Markel cells,501.0,C. Langerhans cells,The Birbeck granule or Langerhans granule is usually seen in the cytoplasm of Langerhans cells. Langerhans cells are usually found in the epidermis. Electron micro - scopic shows Birbeck granules (tennis racket-shaped).
A 10-year-old male presents with irregular completely depigmented patches. Biopsy is done and the micro - scopic picture of affected areas are devoid of melano - cytes. What is the diagnosis?,A. Melasma,B. Vitiligo,C. Freckles (ephelides),D. Benign lentigo,E. Congenital nevus,502.0,B. Vitiligo,Vitiligo is autoimmune destruction of melanocytes. It leads to patchy areas of complete depigmentation. It may affect any race with a familial predisposition. Lesions can appear at any age and anywhere on the body but common sites are the face and areas around the ori - fices. It may also involve genitals and hands. Patients usually present with depigmented patches and macules. It lacks signs of inflammation.
Which of the following skin condition is associated with internal malignancy?,A. Seborrheic keratoses,B. Acanthosis nigricans,C. Psoriasis,D. Dysplastic nevi,E. Nevocellular nevus,503.0,B. Acanthosis nigricans,"Acanthosis nigricans is thickened hyperpigmented skin in axilla and groin. It is caused by hyperplasia of the stratum spinosum. Patients usually present with a vel - vety, light-brown patch often in the axilla on the back of the neck. Acanthosis nigricans is usually associated with insulin resistance (e.g., Diabetes Mellitus) and underly - ing malignancy. Majority of the acanthosis nigricans- associated tumors includes abdominal adenocarcinomas (gastric adenocarcinomas)."
"Characteristic skin lesions pruritic, purple/pink, polygo - nal papules, and plaques are found in which of the fol - lowing skin condition?",A. Lichen nitidus,B. Pityriasis rosea,C. Lichen planus,D. Plaque psoriasis,E. Tinea corporis,504.0,C. Lichen planus,"Lichen planus is a self-limited, nonmalignant muco - cutaneous disease of unknown cause that most com - monly affects middle-aged adults. It results in classic Wickham’s striae, which are white, lacelike pattern on the top of papules or plaques. It is associated with chronic hepatitis C. Common sites involved are wrists, elbows, and oral mucosa. Light microscopy shows hyperkeratosis, lymphocytic infiltrates at the demopep - idemal junction. There may be civatte bodies (apoptotic keratinocytes) in the lower epidermis and saw-tooth shaped rete ridges."
What is Mycosis fungoides?,A. Cutaneous B-cell lymphoma,B. Cutaneous T-cell lymphoma,C. Proliferation of Langerhans cells,D. Benign squamoproliferative neoplasm,E. Benign tumor of melanocytes,505.0,B. Cutaneous T-cell lymphoma,"In cutaneous T-cell lymphoma (CTCL, mycosis fun - goides), neoplastic mature T-cells proliferate in the der - mis and epidermis. Mononuclear T-cells infiltrate into the epidermis characteristics of this lesion. The dermal infiltrates is usually sparse and superficial. It is common in male adults more than 40 years old. Patients present rash of scaly red patches, plaques, or nodules. Leukemic form of the disease called Sezary syndrome."
"A middle aged woman presents with well-demarcated erythematous plaques with a silvery scale on knees, elbows, and scalp. Nail beds show pitting and discolor - ation. What is the diagnosis?",A. Acanthosis nigricans,B. Seborrheic keratoses,C. Psoriasis,D. Histiocytosis X,E. Mycosis fungoides,506.0,C. Psoriasis,"Psoriasis is a common inflammatory skin disorder caused by unregulated proliferation of keratinocytes. It is identified by well demarcated, erythematous papules, and plaques with silvery scales. These areas are usually found on extensor surfaces, such as knees and elbows. Silver scale, when removed, results in pinpoint bleeding (Auspitz sign). Light microscopy shows parakeratosis. Psoriasis is characterized by stratum corneum that has retained nuclei. Psoriatic arthritis is found in approxi - mately 10% of the patients."
Which of the following is precursor lesion of squamous cell carcinoma?,A. Acanthosis nigricans,B. Seborrheic keratoses,C. Histiocytosis X,D. Mycosis fungoides,E. Actinic keratosis  150,507.0,E. Actinic keratosis,"Actinic keratosis is premalignant lesions to squamous cell carcinoma. It is due to the sun-induced dysplasia of the keratinocytes. Lesions are usually <1 cm in size and skin colored with a sandpaper consistency. Grossly, they are seen rough red papules on the face, arms, and hands. Cutaneous horns can develop due to too much deposi - tion of keratin."
" An elderly man presents with skin blisters on his trunk and groin. Skin biopsy is done and microscopic pic - ture shows papillary dermal edema, epidermal split, perivascular lymphohistiocytic infiltrate accompanied by conspicuous eosinophils. What is the diagnosis?",A. Pemphigus vulgaris,B. Bullous pemphigoid,C. Porphyria cutanea tarda,D. Drug-induced bullous disorders,E. Contact dermatitis,508.0,B. Bullous pemphigoid,In Bullous pemphigoid autoantibodies are targeting against hemidesmosomes at the basement membrane. It is predominantly seen in elderly patients. Common clinical features are tense bullae below the epidermis. They can be found throughout the body but usually spare the oral mucosa. Immunofluorescence shows lin - ear IgG at basement membrane. Microscopic picture shows epidermal split with a viable roof and eosino - phils. This pattern is characteristic of bullous pemphigoid.
 A middle aged man comes to the office with red skin lesions as shown in the photograph. What is the diagnosis?,"A. Angiokeratoma (especially on genitals [scrotal, vulvar])",B. Lobular capillary angioma,C. Nodular melanoma,D. Metastatic carcinoma,E. Cherry angioma,509.0,E. Cherry angioma,Cherry angiomas are common benign vascular lesions. Patients usually present with small red papules and macules. Cherry angiomas do not require any treatment.
" A 58-year-old male presents with an asymmetric, irregu - lar border, variegated color, large diameter, enlarging nodule on the face for the last 6  months. What is the diagnosis?",A. Squamous cell carcinoma,B. Malignant melanoma,C. Basal cell carcinoma,D. Seborrheic keratosis,E. Acanthosis nigricans,510.0,B. Malignant melanoma,"Malignant melanoma is usually seen between 42 and 72 years of age. Common risk factors are sunlight expo - sure, sunburn, light-skin individuals, and dysplastic nevus. Grossly, melanomas are asymmetrical in shape, irregular border, variability of color, diameter > 0.5–1 cm and evolution in appearance and size with passes of time. The common sites are upper back in males and back and legs in females. On light microscopy, tumor cells are found in nests with large nuclei and prominent nucleoli. The most prognostic indicator in malignant melanoma is depth of invasion (Breslow thickness). Immunostains commonly used to diagnose malignant melanoma are S-100 and HMB-45. Treatment is usually wide surgical excision."
 Bullous impetigo is a superficial infection caused by which organism?,A. Proteus vulgaris,B. Staphylococcus aureus,C. Pseudomonas aeruginosa,D. Staphylococcus viridans,E. Campylobacter jejuni,511.0,B. Staphylococcus aureus,Impetigo is common in children. It is a cutaneous infection caused by Staphylococcus aureus .
 A 55-year-old man presents with pearly papules on the right side of the nose. Biopsy is done and microscopic findings show invasive nests of basaloid cells with a pali - sading growth pattern. What is the diagnosis?,A. Squamous cell carcinoma,B. Basal cell carcinoma,C. Actinic keratosis,D. Bowen disease,E. Malignant melanoma,512.0,B. Basal cell carcinoma,"Basal cell carcinoma is a common skin tumor in middle-  aged or elderly individuals. Common risk fac - tors are chronic sun exposure, fair complexion, immuno - suppression, and xeroderma pigmentosum. It tends to involve sun-exposed areas and usually involve on the upper part of the face. Grossly, it presents as a pearly papules, often with overlying telangiectatic vessels. Microscopic examination shows invasive nests of darkly staining basaloid cells with a palisading arrangement of nuclei. It grows slowly, locally aggressive rarely metas - tasize. Patients are usually cured by surgical resection of the tumor."
 Excessive tissue response to dermal injury characterized by local fibroblast proliferation and overproduction of collagen is known as?,A. Keloid,B. Nodular scleroderma,C. Dermatofibrosarcoma protuberans,D. Giant cell fibroblastoma,E. Squamous cell carcinoma,513.0,A. Keloid,"Keloids are overactive fibroblastic reaction to injury. They are mostly common in darkly pigmented skin. Keloids usually reoccur despite corticosteroid treatment or surgical intervention. Some common sites of keloids are the upper chest, upper back, head, and neck, espe - cially on the ear. On light microscopy, keloids show fibrous tissue containing thickened, eosinophilic colla - gen bundles."
 A patient with gluten intolerance complains of an itchy vesicular eruption on the back. A skin biopsy shows microabscess within the tips of the dermal papillae. Direct immunofluorescence demonstrates IgA deposi - tion at the tips of dermal papillae. Which of the follow - ing is the most likely diagnosis?,A. Epidermolysis bullosa,B. Pemphigus vulgaris,C. Bullous pemphigoid,D. Porphyria cutanea tarda,E. Dermatitis herpetiformis,514.0,E. Dermatitis herpetiformis,"The most characteristic clinical manifestations are clusters of extremely pruritic vesicles and bullae on the back, often in association with gluten-sensitivity enter - opathy (celiac disease). Hypersensitivity to gliadin, a protein of gluten, is thought to play a crucial pathogenic role, and clinical manifestations resolve on a gluten-free diet. Microabscesses within the tips of dermal papillae and IgA/IgG deposition by direct immunofluorescence are diagnostic features. Patients of dermatitis herpetifor - mis (DH) present with intense pruritic skin eruptions leading to the formation of papules and vesicles. Common clinical manifestations are excoriations and erosions due to pruritus. Dermatitis herpetiformis, being a lifelong condition requires continuing treatment with spontaneous remission in a minority of patients."
" A 55-year-old man comes to the physician office with a tan and brown, round lesion with a well-demarcated bor - der and stuck-on appearance. Microscopic examination shows small cells resembling basal cells, with pigmenta - tion, hyperkeratosis, and keratin-containing cysts. What is the diagnosis?",A. Verruca vulgaris,B. Seborrheic keratosis,C. Melanocytic nevi,D. Squamous cell carcinoma,E. Melanoma,515.0,B. Seborrheic keratosis,"Seborrheic keratosis is a common benign lesion that occurs on the trunk of adults. It is common after the age of 50 years. It may also be present on other sites like head, neck, and extremities. Common clinical manifes - tations are “stuck-on,” warty well-circumscribed lesions. Patients usually present with round or oval lesions with 154 a dull, verrucous surface. Chronic irritation may lead to pruritus and bleeding. Light microscopy shows the pro - liferation of keratinocytes, with small keratin-filled cysts. However, the sudden appearance of numerous foci of seborrheic keratosis (the paraneoplastic sign of Leser–Trelat) is often a sign of underlying visceral malignancy."
 Which of the following morphologic changes is most consistent with allergic rather than irritant contact dermatitis?,A. Lymphocytic exocytosis,B. Papillary dermal edema,C. Eosinophilic infiltration,D. Perivascular lymphocytes,E. Spongiosis,516.0,C. Eosinophilic infiltration,"Contact dermatitis manifests with a similar picture of eczematous/spongiotic dermatitis. Allergic form results from prior sensitization to specific allergens and is accompanied by eosinophilic infiltration. The nonaller - gic form is a nonimmune mediated response to irritants such as soaps and detergents. Contact dermatitis is a common localized inflammatory response of the skin to the wide range of chemical and physical agents. It is a common form of an occupational dermatitis. Mechanism of contact dermatitis is due to damage of keratinocytes, activation of innate immunity, and release of inflamma - tory cytokines."
 Which of the following bullous diseases is pathogeneti - cally related to autoantibodies against antigens of epi - dermal intercellular junctions?,A. Pemphigus vulgaris,B. Bullous pemphigoid,C. Dermatitis herpetiformis,D. Erythema multiforme,E. Pemphigus foliaceus,517.0,A. Pemphigus vulgaris,"Pemphigus vulgaris is an autoimmune blistering dis - order affecting the mucosa and skin. Common sites are scalp, face, groin, and trunk. Earlier lesions appear as superficial vesicles and bullae that are suprabasal. They get ruptured when touched. The mechanism of bulla development in pemphigus vulgaris is acantholysis. Acantholysis causes dissolution and lysis of the intercel - lular adhesion sites within a squamous epithelial sur - face. It leads to intraepidermal bullae formation. Autoantibodies against epidermal desmosomal proteins such as demoglein-3 mediate the immune mechanism leading to destruction of the intercellular junction. Depending on the level of intraepidermal cleavage, pem - phigus can be superficial (foliaceus and erythematosus) or deep (vulgaris and vegetans)."
 A 28-year-old male presents with a rash on his lower extremities. Physical examination shows multiple macu - lar lesions with a red-blue discoloration. Biopsy shows 19 Skin Disorders 151 proliferation of thin walled angulated vessels and hemo - siderin deposits throughout the dermis. What is the diagnosis?,A. Spindle cells hemangioendothelioma,B. Angiosarcoma,C. Bacillary angiomatosis,D. Kaposi sarcoma,E. Microvenular hemangioma,518.0,D. Kaposi sarcoma,Kaposi sarcoma is a vascular tumor that has well- defined growth pattern. It is common in HIV positive patients. Human herpesvirus 8 has also been implicated in the development of Kaposi sarcoma.
 A 52-year-old male presents with a mass in the scalp for the last 6 months. Mass is dome shaped nodule with a smooth surface. Biopsy is done and the microscopic pic - ture shows aggregates of basaloid cells that looks like a jigsaw puzzle. What is the diagnosis?,A. Squamous cell carcinoma,B. Cylindroma,C. Basal cell carcinoma,D. Trichoepithelioma,E. Nodular melanoma,519.0,B. Cylindroma,Eccrine cylindroma (turban tumor) is a sweat gland adenoma. It is commonly located in the scalp. Cylindroma is characterized by aggregates of basaloid cells. These aggregates of basaloid cells are usually sur - rounded by eosinophilic basement membrane. Basaloid cells are arranged in a circular pattern which looks like blue balls in the dermis.
 A 42-year-old sexually active man undergoes biopsy which shows changes of subacute spongiotic dermatitis. The clinical diagnosis is pityriasis rosea. Which of the following features would favor a diagnosis of syphilis over that of pityriasis rosea?,A. Parakeratosis,B. Plasma cell infiltration,C. Hyperkeratosis,D. Parivascular lymphocytosis,E. Spongiosis,520.0,B. Plasma cell infiltration,Secondary syphilis of the skin can be macular or pap - ular. Macular lesions are nonspecific. Papular lesions of later stages show swelling and hyperplasia of endothe - lial cells in dermal vessels. There is a plasma cell-rich perivascular infiltrate. Some common manifestations of secondary syphilis are mucous patches and condyloma lata. These lesions are infectious. Risk of transmission through cutaneous lesions of secondary syphilis is low because of the presence of few treponemes.
"A 17-year-old male presents with a 1  cm tumor in the femur bone. He also has severe pain, worse at night and relieved by over the counter anti-inflammatory agents. Which of the following is the most likely diagnosis?",A. Osteoblastoma,B. Osteosarcoma,C. Osteoid osteoma,D. Chondroblastoma,E. Chondrosarcoma,521.0,C. Osteoid osteoma,"Osteoid osteoma is a benign bone producing tumor of limited growth potential. Classic history is severe pain, worse at night and relieved by anti-inflammatory agents. It is common in adolescent boys. It is similar to osteo - blastoma but measures less than 1.5 cm. Light micros - copy shows random anastomosing woven/bone rimmed by innocuous activated osteoblasts and occasional osteo - clasts with rich fibrovascular stroma."
Tophus is the pathognomonic lesion of which of the fol - lowing conditions?,A. Multiple myeloma,B. Cystinosis,C. Gout,D. Eale’s disease,E. Rheumatoid arthritis,522.0,C. Gout,"Gout is a monosodium urate crystal deposition. It is reflected by hyperuricemia, with serum urate concentra - tions exceeding 6.8  mg/dL.  Clinical manifestations include recurrent flares of arthritis (gout flare), chronic gouty arthritis, and tophaceous deposits due to the accu - mulation of urate crystals. Gout is more common in males than females. Hyperuricemia is due to excessive urate production and impairment of renal uric acid secre - tion. A gout flare occurs in lower extremities and is monoarticular with inflammation. Factors provoking gout flares include trauma, fatty foods, alcohol consump - tion, and ingestions of drugs (thiazide and loop diuret - ics). Typical gout flare includes clinical features of severe pain, redness, swelling, and disability. About 80% of the initial flares occur at the base of the great toe (first meta - tarsophalangeal joint). Involvement in ankle or wrist is more common in recurrent gout flare. There is uncom - mon involvement of axial joints. Tophaceous gout is col - lections of solid urate with inflammatory and destructive changes in the surrounding connective tissue."
H&E microscopic picture of bone tumor of distal femur of 35-year-old female is shown below. What is the diagnosis?,A. Osteoblastoma,B. Giant cell tumor of bone.,C. Osteogenic sarcoma,D. Adamantinoma,E. Chondroid chordoma,523.0,B. Giant cell tumor of bone,"Giant cell tumor of bone is more common in females between 30 and 50 years. It occurs commonly in distal femur, proximal tibia, and distal radius. It is a locally aggressive destructive tumor. Light microscopy shows biphasic lesion with stromal cells and osteoclast like giant cells. Tumor cells are mononuclear with minimal, ill-defined cytoplasm."
A 22-year-old male presents with back pain. The pain is not relieved by over the counter anti-inflammatory agents. There is no history of trauma or any weakness in extremi - ties. Laboratory studies are unremarkable. An X-ray of spine shows lytic expansile lesion with cortical thinning at L4 vertebra measuring 1.5 cm. Patient undergoes surgi - cal resection of the lesion. Microscopic pictures with H&E stain are shown below. What is the diagnosis? ,A. Chondrosarcoma,B. Benign fibrous histiocytoma,C. Hemangioma,D. Osteoblastoma,E. Giant cell tumor of bone,524.0,D. Osteoblastoma,"Osteoblastoma is a benign bone producing lesion and > 1–2 cm. It has a predilection for the spine in young male patients. Clinically and radiologically, it is similar to osteoid osteoma. Osteoblastoma is differentiated from osteoid osteoma based on the size of the lesion and microscopic appearance. Light microscopy examination shows nidus of anastomosing bone trabeculae rimmed by osteoblasts without evidence of spindle cells or permeation."
What is the characteristic radiographic finding of Ewing sarcoma?,A. Onion peel appearance,B. Lytic lesions,C. Sunburst appearance,D. Moth eaten appearance,E. Soap bubble appearance,525.0,A. Onion peel appearance,"In Ewing sarcoma, radiographic appearance is moth eaten or permeative. There is onion skin periosteal reac - tion with new bone formation. It is common in males in first and second decades. Ewing sarcoma is the second most common malignant tumor in children after osteosarcoma."
A 30-year-old woman comes to the office with symptoms of right hip pain. She is a patient of sickle cell disease. Which of the following is the cause of patient’s pain?,A. Rheumatoid arthritis,B. Osteoarthritis,C. Osteoporosis,D. Avascular necrosis,E. Septic arthritis,526.0,D. Avascular necrosis,"Osteonecrosis, vaso-occlusive, and septic arthritis are some of the orthopedic complications of sickle cell dis - ease (SCD). Osteonecrosis (avascular necrosis) occurs in about 10% of patients with SCD. Common sites are humeral head and femoral head. The area above the knee is also affected frequently. Medullary infarcts occur in the diaphysis of a long bone leading to necrosis in the epiphysis and causing a subchondral bone to collapse. Osteonecrosis causes severe pain with decreased mobil - ity. Femoral head osteonecrosis is a risk factor for osteo - necrosis of the humeral head. There is a decreased range of motion and pain with a passive range of motion. Hemoglobin to hematocrit ratio and a surrogate for mean corpuscular hemoglobin concentration is highly associ - ated with osteonecrosis. All patients with SCD with hip pain should be evaluated for avascular necrosis."
"A 18-year-old male teenager comes to the physician office with clinical features of localized pain and swelling around the knee. X-ray findings show Codman’s triangle (periosteal elevation), sunburst pattern, and bone destruc - tion. What is the diagnosis?",A. Ewing sarcoma,B. Giant cell tumor of bone,C. Osteosarcoma,D. Osteoblastoma,E. Rhabdomyosarcoma,527.0,C. Osteosarcoma,"Osteosarcoma is common in males between second and third decades. Skeletal distribution includes distal femur, proximal tibia and proximal humerus. X-ray find - ings show destructive, blastic, lytic lesions with a soft tissue mass. There is periosteal elevation with the forma - tion of Codman triangle. Radial or sunburst pattern is seen due to the ossification of associated soft tissue."
What are the laboratory findings in Paget disease of bone? Calcium Phosphorus,A. Increased Normal Normal,B. Normal Normal Increased,C. Normal Decreased Increased,D. Decreased Decreased Increased,E. Normal Normal NormalAlkaline phosphatase,528.0,"B: Calcium-normal, phosphorus-normal, alka -","line phosphatase-increased Paget disease of bone (PDB) is commonly found in aging bone. It is common in men after the age of 55 years. PDB patients are at increased risk of bone neo - plasms, especially osteosarcoma. Abnormalities of the osteoclasts are found in PDB. This contributes to accel - erated bone turnover and bone remodeling. Pathogenesis involves genetic and environmental causes. In Paget dis - ease of bone (PDB), serum calcium and phosphorus are normal in most patients. The serum alkaline phosphatase is frequently elevated. Elevated serum alkaline phospha - tase causes the formation of a new bone. Skull, vertebral column, and long bones are commonly involved in PDB.  Common manifestations are bone pain, bone deformities, and arthritis. X-ray shows bony deformities with thickening of cortical and trabecular bone."
"A 45-year-old male comes to the physician office with clinical presentation of enlarging mass with pain and swelling of the right shoulder girdle. Biopsy of the mass is done. Microscopic findings show atypical chondro -cytes and chondroblasts, often with multiple nuclei in a lacuna. What is the diagnosis?",A. Osteoclastoma,B. Chondrosarcoma,C. Chondroblastoma,D. Chondromyxoid fibroma,E. Fibrosarcoma,529.0,B. Chondrosarcoma,"Chondrosarcoma is a primary, intramedullary, malig - nant tumor in which the neoplastic cells produce a pure cartilaginous matrix. It is common in males between the fourth and sixth decades. Radiologically, tumor is geo - graphic, lobulated, with cortical thinning and endosteal scalloping. Light microscopy shows disorganized, hypercellular tumor cells with more than occasional binuclear chondrocytes. Tumor cells infiltrate between the trabeculae of normal bone. Chondrosarcomas are graded on a scale of I–III."
 Microscopic picture of a 16-year-old male teenager is shown below. What is the diagnosis?,A. Chondrosarcoma,B. Osteosarcoma,C. Ewing sarcoma,D. Rhabdomyosarcoma,E. Osteoblastoma,530.0,C. Ewing sarcoma,Ewing sarcoma is a malignant bone tumor of chil - dren. It arises in the diaphysis of the long bones. Femur bone is the commonest site. It occurs in the 10–15 years range. Light microscopy shows sheets of undifferenti - ated small round cells and presence of Homer Wright pseudorosettes. Tumor cells are separated by fibrous septae. Tumor cells invade surrounding tissues. There is diffuse immunostaining for CD99.
" Swan neck deformity in a 65-year-old arthritis patient is shown below. What is the diagnosis? 20 Bones, Joints, and Soft Tissue Disorders 159",A. Rheumatoid arthritis,B. Osteoarthritis,C. Ankylosing spondylitis,D. Viral polyarthritis,E. Psoriatic arthritis,531.0,A. Rheumatoid arthritis,"In rheumatoid arthritis, there is fixed flexion of the distal interphalangeal joint and hyperextension of the proximal interphalangeal joint leading to swan neck deformity. Classic features include joint enlargement and ulnar deviation at the metacarpophalangeal joints. There is destruction of cartilage and bone. The joint space is replaced by a synovial pannus causing a destruc - tive process. Pannus results from synovial derived fibro - blast like cells. Cells in pannus produce proteinases that cause the destruction of the extracellular matrix of the 20 Bones, Joints, and Soft Tissue Disorders 165 cartilage. Over time, blood vessels and other cell types transform pannus into a fibrous tissue (inactive pannus). Cartilage and bone destruction can lead to joint instabil - ity causing fibrous ankylosis."
 Microscopic pictures of a bone tumor in a male teenager with swelling around the knee are shown below. What is the diagnosis?,A. Chondrosarcoma,B. Histiocytosis,C. Osteosarcoma,D. Nonrhabdomyosarcoma soft tissue sarcomas,E. Osteoclastoma,532.0,C. Osteosarcoma,"Osteosarcoma involves the metaphysis of long bones and common in children and young adults. Histologically, osteosarcoma is composed of poorly formed trabecular bone due to disorganized osteoid pro - duction. It is a highly cellular tumor with spindle shaped tumor cells. Tumor cells show atypia and nuclear polymorphism."
 A 42-year-old woman presented with history of asymp - tomatic progressive nodular lesion over abdomen since 8  years. An incisional biopsy was performed. H&E microscopic picture showing spindle shaped tumor cells arranged in storiform pattern in the dermis is shown below. What is the diagnosis?,A. Dermal fibrous histiocytoma,B. Myxoid liposarcoma,C. Dermatofibrosarcoma protuberans,D. Plexiform fibrohistiocytic tumor,E. Fibrosarcoma,533.0,C. Dermatofibrosarcoma protuberans,"Dermatofibrosarcoma protuberans (DFSP) is a nodu - lar cutaneous tumor. DFSP presents during early or mid - dle adult life as a nodular cutaneous mass. There is a slow and persistent growth over a long period, often sev - eral years. Common locations are trunk or groin. Light microscopy shows spindle cells arranged in a distinct storiform pattern. Tumor diffusely infiltrates the dermis and subcutis. CD34 immunochemical stain is used as a diagnostic marker of DFSP."
 Trabecular bone loss is seen in which of the following condition?,A. Osteomalacia,B. Osteoporosis,C. Hyperparathyroidism,D. Mastocytosis,E. Paget Disease,534.0,B. Osteoporosis,"There occurs a trabecular loss with aging in both sexes. Osteoporosis is more pronounced in women. Estrogen decline after menopause promotes a trabecular loss. There is low bone mass and skeletal fragility with an increased risk of fractures because of decreased bone strength. Low BMD Z-scores require further evaluation for secondary causes of osteoporosis. The most common clinical manifestation is a vertebral fracture. Hip frac - tures are also common. A BMD T-score of 2.5 SD or below is suggestive of osteoporosis. Risk factors include smoking, excessive alcohol, poor nutrition and physical inactivity."
 A soft tumor is excised from a 40-year-old woman. Microscopic examination shows nests of polygonal cells with abundant cytoplasm separated by fibrovascular tis - sue. What is the diagnosis?,A. Alveolar rhabdomyosarcoma,B. Metastatic carcinoma,C. Metastatic melanoma,D. Alveolar soft part sarcoma,E. Paraganglioma,535.0,D. Alveolar soft part sarcoma,"Alveolar soft part sarcoma (ASPS), a rare tumor, occurs in young females. Majority of cases are found in lower extremities and head/neck. Grossly, it is poorly defined, soft and yellow. There can be hemorrhagic and necrotic areas as well. Light microscopy shows nests of polygonal cells with abundant cytoplasm separated by fibrovascular tissue. 5-Year survival rate is about 60%."
 Which of the following organism that commonly causes pyogenic osteomyelitis?,A. Escherichia coli,B. Streptococci,C. Staphylococcus aureus,D. Gonococci,E. Haemophilus influenzae,536.0,C. Staphylococcus aureus,"Infection of the bone is osteomyelitis. Mechanisms can be hematogenous or nonhematogenous. Cause of nonhomogeneous osteomyelitis is infection to bone from adjacent soft tissues. Microorganisms cause hema - togenous osteomyelitis. Bone infections are commonly caused by certain pyogenic bacteria. Pyogenic osteomy - elitis is caused by Staphylococcus aureus in about 80–90% of the cases. Biopsy of the involved bone is done to establish the diagnosis. Positive blood cultures and X-ray findings are helpful in making a diagnosis of osteomyelitis caused by Staphylococcus aureus . In that case, bone biopsy is not required."
" A 42-year-old woman presents with a small axillary mass. She had the mass for the last several years without any change. On physical examination, 4 cm mass is seen which is soft, nontender and freely mobile. Excisional biopsy is done and microscopic picture is shown below. What is the diagnosis?",A. Hibernoma,B. Lipoma,C. Sebaceous cyst,D. Atypical lipomatous tumor,E. Liposarcoma,537.0,B. Lipoma,"Lipoma is a common benign tumor. The tumor arises from the subcutaneous fat in middle aged adults. Lipomas are found in any part of the body. Soft subcu - taneous lipomas range in size from 1 to 10  cm. Common sites are trunk and upper extremities. Ultrasound is useful to distinguish a lipoma from an epidermoid cyst. Histologically, lipoma is composed of mature, well differentiated adipocytes with a fibrous capsule. Treatment is surgical removal of the fat cells and fibrous capsule."
" A 66-year-old male presents with a painless, enlarging mass on the left thigh. Physical examination shows a soft, nontender mass on the anterior left thigh. MRI shows a fatty, soft tissue mass with lobulated margins. Surgical resection is done and microscopic pictures are shown below. What is the diagnosis?",A. Liposarcoma,B. Leiomyosarcoma,C. Rhabdomyosarcoma,D. Fibrous histiocytoma,E. Solitary fibrous tumor,538.0,A. Liposarcoma,"In adults, liposarcoma is one of the most common soft tissue sarcoma. Liposarcomas are usually large and occur most frequently in lower extremities, retroperito - neal mesenteric region, and shoulder area. Grossly, they are well circumscribed but not encapsulated. The com - mon tumor cells are lipoblasts. Lipoblasts include an indented or sharply scalloped hyperchromatic nuclei. Well differentiated liposarcoma is the most common tumor with a peak incidence between 60 and 70 years. Men and women are equally affected. Dedifferentiation in liposarcoma is considered as precursor lesion of high grade liposarcoma. 5-Year survival rate is between 25 and 90% at different locations."
