id,Question,A,B,C,D,E,F
Set_13: q6,Which of the following disease is associated with HLA DR 3 & 4?,Type 1-Juvenile onset diabetes mellitus,Type 2-adult onset diabetes mellitus,Diabetes insipidus,Syndrome of inappropriate antidiuretic hormone,Zollinger–Ellison syndrome,
Set_13: q7,"Hyperglycemia, anion gap metabolic acidosis, increased blood ketone levels, leukocytosis are seen in which of the following disease?",Diabetes insipidus,Syndrome of inappropriate antidiuretic hormone,Acute pancreatitis,Lactic acidosis,Diabetic ketoacidosis,
Set_13: q8,What is true about insulinoma?,β cell tumor,G cell tumor,α cell tumor,δ cell tumor,It is type of Vipoma,
Set_13: q9,"A middle-aged patient comes to the emergency depart - ment with symptoms of hyperglycemia, anemia, skin rash and confusion. What is the diagnosis?",Insulinoma,Gastrinoma,Glucagonoma,Somatostatinoma,Vipoma  106,
Set_13: q10,A 48-year-old woman presents with a 4 cm mass in the body of the pancreas. Histological examinations shows features of microcystic adenoma of the pancreas. This lesion is associated with which syndrome?,"Neurofibromatosis, type 2",Cowden syndrome,Gorlin syndrome,V on Hippe–Lindau syndrome,Tuberous sclerosis,
Set_13: q11,Autoimmune insulitis with progressive beta cell loss is the most common cause of which disease?,Type 2 diabetes mellitus,Diabetes insipidus,Carcinoid syndrome,Zollinger–Ellison syndrome,Type 1 diabetes mellitus,
Set_13: q12,"A 5-year-old child presents with steatorrhea, failure to thrive, bulky, foul smelling oily stool. There is also his - tory of recurrent pneumonia. What is the diagnosis?",Primary ciliary dyskinesia,Cystic fibrosis,Shwachman diamond syndrome,Severe combined immunodeficiency,Alpha1 antitrypsin deficiency,
Set_13: q13,"A male patient aged 75 years with a history of smoking, presents with symptoms of abdominal pain, obstructive jaundice. CT scan of abdomen shows a small mass in the head of the pancreas. What is the diagnosis?",Chronic pancreatitis,Lymphoma,Pancreatic carcinoma,Colonic neuroendocrine carcinoma,Duodenal adenocarcinoma,
Set_13: q14,Pancreatic islet amyloid deposition is seen in which of the following medical condition?,Type 1 diabetes mellitus,Diabetes insipidus,Carcinoid syndrome,Type 2 diabetes mellitus,Zollinger–Ellison syndrome,
Set_13: q15,Pancreatic pseudocysts are the potential complication of which of the following condition involving the pancreas?,Acute pancreatitis,Pancreatic adenocarcinoma,Pancreatic abscess,Insulinoma of pancreas,Gastrinoma of pancreas,
Set_13: q16,"Hyperparathyroidism (e.g., hypercalcemia, constipation, kidney stones), pituitary tumors, and pancreatic endo - crine tumors (e.g., gastrinoma) are seen in which of the following condition?",Multiple endocrine neoplasia type 2A,Multiple endocrine neoplasia type 2B,V on Hippel–Lindau disease,Vipomas,Multiple endocrine neoplasia type 1,
Set_13: q17,"A 40-year-old man presents with watery diarrhea, mid epigastric pain for the last 1 month. Upper endoscopy shows distal duodenal ulcerations. Laboratory findings show elevated basal serum gastrin levels. What is the diagnosis?",Antral G cell hyperplasia,Retained antrum syndrome,Autoimmune gastritis,Zollinger–Ellison syndrome,Enterochromaffin cell tumor,
Set_13: q18,Recurrent intractable peptic ulcer disease suggests an underlying:,Acinar cell carcinoma,Adenocarcinoma of the pancreas,Pancreatoblastoma,Poorly differentiated neuroendocrine carcinoma,Pancreatic neuroendocrine neoplasms (NENs),
Set_13: q19,Which of the following is correct regarding Hemoglobin A1c (HbA1c)?,Measures average blood sugar for the past 1 month,Measures average blood sugar for the past 3 months,Measures average blood sugar for the past 6 months,Measures average blood sugar for the past 12 months,Hemoglobin A1c has no relation with diabetes mellitus,
Set_13: q20,Relatively reduced insulin secretion and peripheral insu - lin resistance are the pathogenesis of which of the fol - lowing medical condition?,Adult onset diabetes mellitus,Diabetes insipidus,Syndrome of inappropriate antidiuretic hormone,Juvenile onset diabetes mellitus,Zollinger–Ellison syndrome,
Set_13: q21,"A middle-aged man history of consuming regular alco - hol presents with epigastric pain, chronic diarrhea and weight loss. Abdominal X-ray is done which shows epi - gastric calcifications. What is the diagnosis?",Autoimmune pancreatitis,Pancreatic endocrine tumors,Lymphoma,Pancreatic adenocarcinoma,Chronic alcoholic pancreatitis,
Set_13: q22,"A 2-year-old male child is drought to the pediatrician office for abdominal pain, vomiting, and yellow skin. On physical examination, the child is jaundiced and his abdomen is tender to palpation. Laboratory studies reveal elevated alpha-fetoprotein (AFP).What is the diagnosis?",Pancreatoblastoma,Hepatocellular carcinoma,Pancreatic intraepithelial neoplasia,Acinar cell carcinoma,Pancreatic cystadenoma13 Pancreas 107,
Set_14: q1,IgA nephropathy,Lupus glomerulonephritis,Membranoproliferative glomerulonephritis (MPGN),Diabetic nephropathy,Amyloidosis,,
Set_14: q2,A 6-year-old boy is brought to the pediatrician office due to puffy face. Physical examination shows marked perior - bital edema and pitting edema of both feet. Urinalysis show 4+ proteinuria. Laboratory findings show decreased serum albumin and increased cholesterol. The most likely cause of child’s disease is:,Membranous nephropathy,Minimal change disease,Poststreptococcal disease,IgA Nephropathy,Goodpasture’s syndrome,
Set_14: q3,An important factor for chronic pyelonephritis is:,Obstruction,Vesico-ureteral reflux,Pelvi-ureteric junction obstruction,Catheter induced,Hypertension,
Set_14: q4,"Paraneoplastic syndromes of RCC such as polycythemia, hypertension, hyperparathyroidism are sometimes the earliest manifestation of renal cell carcinoma. What is the cause of polycythemia?",Renin secretion,Parathyroid-like substance,Excess erythropoietin production,Hypercalcemia,Myeloproliferative disorders,
Set_14: q5,"Which of the following condition presents with charac - teristic triad of microangiopathic hemolytic anemia, thrombocytopenia, and acute kidney injury?",Hemolytic uremic syndrome,Systemic vasculitis,Henoch–Schonlein purpura,Thrombotic thrombocytopenic purpura,Disseminated intravascular coagulation,
Set_14: q6,"A 51-year-old man is brought to the emergency depart - ment with symptoms of severe headaches, vomiting, and visual disturbances. Physical examination shows blood pressure 220/150 mmHg. Which of the following renal pathology will be present in this patient?",Hyaline arteriolosclerosis,Hyperplastic arteriolosclerosis,Tubulointerstitial nephritis,Papillary necrosis,Chronic glomerulonephritis  112,
Set_14: q7,A 59-year-old male patient present with long standing hypertension. Physical examination shows blood pres - sure of 160/95 mmHg. Ultrasound examination shows small sized kidneys. Which of the following renal lesions is characteristic of this long standing hypertension?,Hyaline arteriosclerosis,Fibrinoid necrosis,Hyperplastic arteriosclerosis,Rapidly progressive glomerulonephritis,Acute tubular necrosis,
Set_14: q8,Which is the following is additional finding in V on Hippel–Lindau syndrome in addition to renal cell carcinoma?,Renal amyloidosis,Renal calculi,Renal cysts,Renal carcinoid tumors,Renal oncocytoma,
Set_14: q9,A 4-year-old child presents as a large abdominal mass. What is the diagnosis?,Renal cell carcinoma,Wilms tumor,Neuroblastoma,Renal sarcomas,Transitional cell carcinoma,
Set_14: q10,"Which of the following condition is a common cause of recurrent kidney stones, hypercalcemia, and hypophosphatemia?",Hyperparathyroidism,Hyperthyroidism,Hypothyroidism,Gout,Vitamin D deficiency,
Set_14: q11,Which inheritance is found in polycystic kidney disease (PKD) in children?,Autosomal recessive,Autosomal dominance,X-linked dominant,X-linked recessive,Mutations in genes on the X chromosome,
Set_14: q12,Which of the following glomerulonephritis shows tram- track appearance?,Membranoproliferative glomerulonephritis (MPGN),Rapidly progressive glomerulonephritis (RPGN),Minimal change disease,Lupus nephritis,Membranous glomerulonephritis,
Set_14: q13,Gross presentation of a kidney tumor is shown below. What is the diagnosis?,Adenoma,Hypernephroma,Clear cell tubulopapillary carcinoma,Collecting duct carcinoma,Papillary oncocytoma,
Set_14: q14,"A 49-year-old man presents with hematuria and hyper - tension. Laboratory findings show blood urea nitrogen of 45 mg/dL and serum creatinine of 5.8 mg/dL. Kidney biopsy is done and light microscopy shows hypercellular glomeruli, crescent formation in Bowman’s space. What is the diagnosis?",Rapidly progressive glomerulonephritis (RPGN),Lupus nephritis,IgA nephropathy (Berger’s disease),Membranous nephropathy,Nephrotic syndrome,
Set_14: q15,Unilateral small smooth kidney is seen in:,Reflux nephropathy,Lobar infarction,Renal artery stenosis,Chronic glomerulonephritis,Membranous glomerulopathy,
Set_14: q16,Which of the following organism causes recurrent uri - nary infections leading to staghorn calculus in the renal pelvis?,Klebsiella infection,Escherichia infection,Enterococcus faecalis,Staphylococcus saprophyticus,Streptococcus pyogenes14 Kidney 113,
Set_14: q17,Subendothelial electron-dense deposits within the glom - erulus is seen in:,MPGN type I,Crescentic glomerulonephritis,Dense deposit disease,IgA nephropathy,Minimal change disease,
Set_14: q18,"A 10-year-old male child presents with pink color urine. Physical examination shows edema, hypertension. Laboratory findings showed proteinuria, red blood cell casts, and hypocomplementemia. Immunofluorescence shows diffuse granular pattern in the mesangium and glomerular capillary walls. Dome shaped subepithelial deposits are seen by electron microscope. What is the diagnosis?",Focal segmental glomerulosclerosis,Membranoproliferative glomerulonephritis,Membranous glomerulonephritis,Minimal change disease,Poststreptococcal glomerulonephritis,
Set_14: q19,Finnish type of congenital nephrotic syndrome is caused by defects in the following protein:,Alpha actinin,CD2 activated protein,Nephrin,ACTN4,Myosin-9,
Set_14: q20,H&E microscopic picture of renal pathology is shown below. What is the diagnosis?,Adenoma,Clear cell tubulopapillary carcinoma,Collecting duct carcinoma,Clear cell renal cell carcinoma,Papillary oncocytoma,
Set_14: q21,A 47-year-old male presents with decrease in urine out - put. The patient was prescribed injectable aminoglyco - sides for a severe ear infection. Lab findings show BUN 65 mg/dL and serum creatinine of 2 mg/dL. Which of the following conditions is most likely to account for his findings?,Acute tubular necrosis,Rapidly progressive glomerulonephritis,Papillary necrosis,Malignant nephrosclerosis,Goodpasture syndrome,
Set_14: q22,"A 27-year-old IV drug abuser is brought to the hospital with symptoms of chills and fever. Laboratory findings show elevated BUN and serum creatinine. Urinalysis reveals microscopic hematuria, granular, and cellular casts. He later died and an autopsy is performed. The most likely diagnosis is:",IgA nephropathy,Viral hepatitis B,Goodpasture’s syndrome,Diffuse glomerulonephritis secondary to infectious endocarditis,AIDS,
Set_14: q23,A 32-year-old heroin addict develops nephrotic syn - drome. Renal biopsy shows focal deposition of hyaline masses in portions of affected glomeruli and increased mesangial matrix on light microscopy. The most likely diagnosis is:,Postinfectious glomerulonephritis,Rapidly progressive glomerulonephritis,Membranoproliferative glomerulonephritis,Berger’s disease,Focal segmental glomerulosclerosis,
Set_14: q24,"A 30-year-old male presents with sore throat and pink/ brown urine. Kidney biopsy showed mesangial prolifer - ation, immunofluorescence shows mesangial deposits of Ig",What is the diagnosis?,Membranoproliferative glomerulonephritis (MPGN),lupus nephritis,IgA nephropathy (Berger’s disease),Membranous nephropathy,Nephrotic syndrome
Set_14: q25,"A 45-year-old man with rheumatoid arthritis presents with nephrotic range proteinuria, severe edema. Laboratory findings show elevated BUN and serum cre - atinine. What is the diagnosis?",Membranous glomerulonephritis,Renal amyloidosis,Rapidly progressive glomerulonephritis,Acute tubular necrosis,Chronic glomerulonephritis,
Set_14: q26,"A 25-year-old female presents with skin rashes, arthral - gia, and arthritis of knee joints. Laboratory findings show anemia, elevated BUN, and serum creatinine. Urinalysis shows proteinuria and red blood cells. Which of the fol - lowing condition is most likely to account for her findings? Multiple Choice Questions 114",Lupus nephritis,Chronic pyelonephritis,Amyloidosis,Renal papillary necrosis,Acute tubular necrosis,
Set_14: q27,What is the most common cause of nephrotic syndrome in adults?,Focal segmental glomerulosclerosis,Acute pyelonephritis,Minimal change disease,Chronic glomerulonephritis,Membranous glomerulonephritis,
Set_14: q28,"Immunofluorescence microscopic picture showing lin - ear deposits along the glomerular basement membrane, is shown below. What is the diagnosis?",Rapidly progressive glomerulonephritis,Poststreptococcal glomerulonephritis,Membranoproliferative glomerulonephritis,Goodpasture syndrome,Membranous glomerulonephritis,
Set_14: q29,"A 5-year-old child is brought by his mother to pediatri - cian office with symptoms of pink urine, hearing and vision problems. Urinalysis shows red blood cells. The most probable diagnosis is:",IgA nephropathy,Alport syndrome,Epstein syndrome,Thin GBM disease,Medullary cystic disease,
Set_15: q1,Inflammation of the glans penis,Ulcer of the glans penis,Infection of the glans penis,Abnormality of the glans penis,Abnormality in the curvature of the penis,,
Set_15: q2,A 32-year-old man comes to the physician with a solid mass in his left testis. Ultrasound reveals partially necrotic mass. Patient has elevated alpha-fetoprotein (AFP) and human chorionic gonadotropin (hCG). Which of the following is the diagnosis?,Leydig cell tumor,Yolk sac tumor,Granulosa cell tumor,Nonseminomatous germ cell tumor,Sertoli cell tumor,
Set_15: q3,A 44-year-old male patient presents with symptoms of hematuria to his urologist. Cystoscopy is done which reveals a small tumor like lesion with gritty appearance. What is the diagnosis?,Squamous cell carcinoma of the bladder,Interstitial cystitis,Eosinophilic cystitis,Radiation cystitis,Schistosomiasis-related cystitis,
Set_15: q4,A 2-year-old boy was brought by his mother with a mass in the left testis. Serum level of alpha-fetoprotein (AFP) is elevated. What is the diagnosis?,Seminoma,Yolk sac tumor,Granulosa cell tumor,Teratoma,Sertoli cell tumor,
Set_15: q5,"A 30-year-old man with a large bulky mass comes to the physician office. Biopsy is done. Microscopic findings show polygonal germ cells with clear cytoplasm and round nuclei. Tumor cells are arranged in lobules, sepa - rated by fibrous septae. What is the diagnosis?",Seminoma,Leydig cell tumor,Granulosa cell tumor,Choriocarcinoma,Sertoli cell tumor,
Set_15: q6,"A 19-year-old boy comes to the physician office with a swollen, red scrotum on the right side. There is pain and tenderness in the testicle. There is also painful urination along with urgency and frequency. What is the diagnosis?",Epididymitis,Testicular torsion,Inguinal hernia,Testicular cancer,Testicular tumor,
Set_15: q7,"A 40-year-old man comes to the physician office with complaints of painless testicular mass, bilateral breast enlargement. Immunohisto-chemical stain is positive for inhibin and Ki-",Seminoma,Yolk sac tumor,Granulosa cell tumor,Leydig cell tumor,Sertoli cell tumor,
Set_15: q8,A 45-year-old man presents with painless slowly enlarg - ing testicular mass. He has also features of precocious masculinization. What is the diagnosis?,Seminoma,Yolk sac tumor,Granulosa cell tumor,Leydig cell tumor,Sertoli cell tumor,
Set_15: q9,"Sclerosing adenosis, a pseudo neoplastic lesion in the prostate gland that can mimic prostate cancer is most likely to occur in which zone:  122",Central zone,Peripheral zone,Anterior fibromuscular zone,Transition zone,None of the above,
Set_15: q10,"A 69-year-old male presents with obstructive urinary systems. Transurethral resection biopsy of the prostate is done. Microscopic findings show marked prolifera - tion of round, smaller and crowded glands. What is the diagnosis?",Benign prostatic hyperplasia (BPH),Prostatic adenocarcinoma,Acute bacterial prostatitis and prostatic abscess,Invasive squamous cell carcinoma,Invasive urothelial carcinoma,
Set_15: q11,Which one of the following is NOT used as a tumor marker in testicular tumors?,Beta human chorionic gonadotropin (ß-hCG),Carcinoembryonic antigen (CEA),Alpha-fetoprotein (AFP),Lactate dehydrogenase (LDH),Placental alkaline phosphatase (PLAP),
Set_15: q12,"A 40-year-old male patient with symptoms of polyuria, dysuria, hematuria, and abdominal pain. Cystoscopy done which shows a distensible bladder with ulceration and areas of pinpoint petechiae and ulceration. What is the diagnosis?",Interstitial cystitis,Schistosomal cystitis,Eosinophilic cystitis,Tuberculous cystitis,Follicular cystitis,
Set_15: q13,"A 65-year-old male patient presents with urinary prob - lems. He complains of frequent or urgent need to uri - nate, increased frequency of urination at night, difficulty starting urination, weak urine stream, dribbling at the end of urination, inability to completely empty the blad - der. What is the diagnosis?",Prostate cancer,Cystitis,Prostatitis,Carcinoma of the bladder,Benign prostatic hyperplasia,
Set_15: q14,"A 30-year-old male comes to the physician office with small, flesh-colored/gray swellings in genital area. He also complained of itching and discomfort in genital area. Physical examination shows several warts close together taking a cauliflower like shape. What is the diagnosis?",Molluscum contagiosum,Condyloma lata,Condyloma acuminatum,Familial benign pemphigus,Keratosis follicularis,
Set_15: q15,Which of the following conditions in penis is associated with human papillomavirus infection?,Epididymitis,Squamous cell carcinoma of penis,Orchitis,Varicocele,Peyronie’s disease,
Set_15: q16,Which of the following primary testicular neoplasm are NOT considered to be a teratoma?,Yolk sac tumors,Embryonal carcinomas,Choriocarcinomas,Diffuse embryoma,Teratomas,
Set_15: q17,"A 20-year-old man comes to the physician’s office for a regular checkup. On physical examination, no testis is palpable in the left scrotum. Which of the following complications this patient can have in the future?",Carcinoma,Varicocele,Tuberculosis,Prostatitis,Gynecomastia,
Set_15: q18,"A 38-year-old man comes to the physician office with painless swelling of the left scrotum for the last 11 months. He also complains of discomfort, and feel - ing of heaviness in the left scrotum. Physical examina - tion shows swollen scrotum and the transillumination test result is positive. What is the diagnosis?",Spermatocele,Varicocele,Hematocele,Hydrocele,Testicular tumor,
Set_15: q19,"A 15-year-old teenager presents with symptoms of inability to urinate and empty the bladder properly. He also complaints of redness, soreness, and swelling on foreskin. Physical examination shows narrowing of the opening of the foreskin and it cannot be retracted. What is the diagnosis?",Epispadias,Hypospadias,Phimosis,Balanitis,Cellulitis,
Set_15: q20,Embryonal carcinomas are germ cell tumors of the tes - tis. Which of the following staining profile is typical immunophenotype for embryonal carcinomas?,PLAP(+); CK(+); EMA( −); CD30(+),PLAP(+); CK (+); EMA (+); CD30 (+)15 Male Genital Tract 123,PLAP( −); CK( −); EMA (+); CD30( −),PLAP( −); CK (+); EMA ( −); CD30(+),PLAP(+); CK (+); EMA ( −); CD 30( −),
Set_15: q21,Which statement best defines epispadias?,Urethra ends in an opening on the upper aspect of the penis,Opening on the urethra on the underside of penis,It is an abnormality at the external urethral meatus,It is an abnormality in the shaft of the penis,It is an abnormality in the dorsal nerve and blood vessels of the penis,
Set_15: q22,A 9-year-old male patient is brought by his mother to the pediatrician office with symptoms of right testicular pain. Physical examination shows an extra testicular tumour scrotal mass. Imaging studies demonstrate a 2.5 × 2.0 cm spermatic cord mass. A right radical orchi - ectomy is done. Microscopic picture shows malignant cells with rhabdoid differentiation. What is the diagnosis?,Non-Hodgkin lymphoma,Rhabdomyosarcoma,Liposarcoma,Hibernoma,Adenomatoid tumor,
Set_16: q1,Granulosa cell tumor,Serous cystadenocarcinoma,Dysgerminoma,Granulosa cell tumor,Yolk sac tumor,,
Set_16: q2,Which are the following human papilloma virus (HPV) is NOT a high risk for cervical carcinoma?,HPV 16,HPV 18,HPV 31,HPV 33,HPV 6,
Set_16: q3,Cervical intraepithelial neoplasia (CIN) occurs com - monly at which site?,At the squamocolumnar junction of the cervix,In the cervix,In the vulva,At the squamous junction of the cervix,At the columnar junction of the cervix,
Set_16: q4,What is the microscopic finding of chronic endometritis?,Lymphocytes and neutrophils in the endometrium,Plasma cells in the endometrium,Monocytes in the endometrium,Macrophages in the endometrium,Eosinophils in the endometrium,
Set_16: q5,A 35-year-old female come to the physician office with symptoms of cyclical pelvic pain which occurs at time of menstruation. What is the diagnosis?,Endometriosis,Appendicitis,Diverticulitis,Ectopic pregnancy,Pelvic inflammatory disease,
Set_16: q6,What are the laboratory findings in polycystic ovarian disease (Stein-Leventhal syndrome)?,Elevated luteinizing hormone (LH) and low follicle stimulating hormone (FSH),Decreased luteinizing hormone (LH),Increased follicle stimulating hormone (FSH),Decreased testosterone,Decreased luteinizing hormone (LH) and elevated follicle stimulating hormone (FSH),
Set_16: q7,Which is the most common benign ovarian tumor?,Cystadenoma,Teratoma,Dysgerminoma,Yolk sac tumor,Granulosa cell tumor,
Set_16: q8,Immature teratoma is graded by:,Amount of mature tissue,Amount of immature neuroepithelium,Amount of immature cartilage,Amount of bone and well-formed teeth,Amount of immature tissue types,
Set_16: q9,What is the percentage of the teratoma which develops malignant transformation; usually squamous cell carci - noma (SCC)?,5%,10%,15%,20%,2%,
Set_16: q10,A female in her early 20s presented to her physician with complaints of right lower quadrant pain for approxi - mately 2  weeks and adnexal mass. Laboratory values may include elevated beta lactate dehydrogenase (LDH). What is the diagnosis?,Serous cystadenocarcinoma  128,Dysgerminoma,Mucinous cystadenocarcinoma,Endodermal sinus tumor,Granulosa cell tumor,
Set_16: q11,Which of the following is correct regarding Meigs’ syndrome?,Ovarian fibroma and ascites,Ovarian fibroma and pleural effusion,"Ovarian fibroma, ascites and pleural effusion",It is an androgen producing tumor,It produces β-HCG,
Set_16: q12,Call-Exner bodies are found in which tumor?,Teratoma,Dysgerminoma,Granulosa cell tumor,Sertoli-Leydig cell tumor (androblastoma),Cystadenocarcinoma,
Set_16: q13,"A uterine mass is found in a 52-year-old woman. Gross examination shows 10  cm, yellow-tan mural lesion. Microscopic examination shows coagulative tumor necro - sis, mitotic count >10/10 HPF. What is the diagnosis?",Leiomyosarcoma,Adnexal tumor,Leiomyoma,Carcinosarcoma,Adenosarcoma,
Set_16: q14,Which of the following is the correct answer for the molar karyotype of hydatidiform mole?,"69, XXY","46, XX","69, XXX","46, XY","69, XYY",
Set_16: q15,A 25-year-old woman has a spontaneous abortion at 16 weeks. The male fetus is deformed and nonviable. The placenta is also small. It shows grape-like villi among morphologically normal villi. What is the diagnosis?,Partial hydatidiform mole,Complete hydatidiform mole,Invasive hydatidiform mole,Choriocarcinoma,Turner syndrome,
Set_16: q16,"A 38-year-old female presents with irregular vaginal bleeding and pelvic pain. Pelvic ultrasound reveals a pelvic mass. Endometrial biopsy reveals enlarged, non- spindled pleomorphic cells with large nuclei and no mitotic figures. What is the diagnosis?",Leiomyosarcoma,Adenomatoid tumor,Adenomyoma,Adnexal tumor,Uterine epithelioid leiomyoma,
Set_16: q17,"A 32-year-old woman presents with vaginal bleeding, shortness of breath, hemoptysis and chest pain. Chest X-ray shows multiple infiltrates of various shapes in both lungs. Serum level of human chorionic gonadotro - pin (hCG) is elevated. What is the diagnosis?",Seminoma,Yolk sac tumor,Granulosa cell tumor,Leydig cell tumor,Choriocarcinoma,
Set_16: q18,"A 58-year-old markedly obese, single, diabetic nullipa - rous woman presents with vaginal bleeding. A pap smear is done which shows cells that are consistent with endo - metrial adenocarcinoma. Which of the following disease can progress to endometrial carcinoma?",Adenomyosis,Human papillomavirus infection,Endometrial hyperplasia,Leiomyoma,Chronic endometritis,
Set_16: q19,The epithelial lining of fallopian tube is:,Squamous,Cuboid,Ciliated columnar,Pseudostratified columnar,Transitional,
Set_16: q20,"A 25-year-old woman in her fifth month of pregnancy complaints of vaginal bleeding and no fetal movement. Physical examination reveals a larger uterus than expected for her duration of pregnancy. During the examination, she spontaneously passes some grape-like tissue. Which of the following is the most likely complication?",Granulosa cell tumor,Invasive mole,Polycystic ovaries,Serous cystadenocarcinoma,Increased risk for breast carcinoma,
Set_16: q21,Microscopic picture of an ovarian lesion is shown below. What is the most likely diagnosis? 16 Female Genital Tract 129,Brenner tumor,Struma ovarii,Thecoma,Serous cystadenoma,Choriocarcinoma,
Set_16: q22,A 49-year-old woman presents to her primary care physi - cian with a recent history of a malodorous bloody discharge following intercourse. Her last PAP smear was done 12 years ago. What would be the most likely diagnosis?,Endometriosis,Cervicitis,Vaginitis,Pelvic inflammatory disease,Squamous cell carcinoma of cervix,
Set_16: q23,A 30-year-old woman shows ASC-H (atypical squa - mous cells-favor high grade). What is the most appropri - ate follow up for this patient?,Repeat pap smear in 6 months,Repeat pap smear in 1 year,Hysterectomy,Loop electrocautery excision procedure,Colposcopy,
Set_16: q24,"An 8-year-old girl has intermittent lower abdominal pain and fever for 3 weeks. On physical examination, lower abdomen tenderness is noted. Ultrasonography (US) showed a huge pelvic tumor with cystic mass. Biopsy of the tumor is done. Microscopic picture shows solid, tubular and focal papillary patterns with Schiller–Duval bodies. What is the diagnosis?",Embryonal carcinoma,Choriocarcinoma,Yolk sac tumor,Teratoma,Dysgerminoma,
Set_16: q25,Gross specimen of the ovary of 19-year-old female is shown below. What is the diagnosis?,Cystadenoma,Cystadenocarcinoma,Mature cystic teratoma of ovary,Dysgerminoma,Ovarian fibroma,
Set_16: q26,A middle-aged woman complaints of menorrhagia and dysmenorrhea. Patient has a uniformly enlarged uterus with normal-appearing endometrial tissue on biopsy. What is the diagnosis?,Leiomyoma,Adenomyosis,Pelvic adhesive disease,Uterine cancer,Chronic endometritis,
Set_17: q1,Proliferating epithelial elements,Tumor size,Age of the patient,Stromal cellularity,Mucinous change,,
Set_17: q2,Which of the following breast pathology has 4–5 times increased risk of breast cancer?,Apocrine metaplasia,Sclerosing adenosis,Usual ductal hyperplasia,Intraductal papilloma,Atypical ductal hyperplasia,
Set_17: q3,The most likely cause of a 1-cm mass in the upper outer quadrant of the breast of a 65-year-old woman is?,Fibrocystic disease,Acute mastitis,Fibroadenoma,Carcinoma,Paget disease of the breast,
Set_17: q4,A 42-year-old woman noticed lumps in both breasts. Fine needle aspiration of both breasts reveals additional foci of similar cells. What is the diagnosis?,Medullary carcinoma,Metaplastic carcinoma,Papillary carcinoma,Lobular carcinoma in situ (LCIS),Infiltrating ductal carcinoma,
Set_17: q5,A 33-year-old woman presents with bloody nipple dis - charge from her left breast. Core needle biopsy of the breast is done and microscopic examination shows papillae with a delicate fibrovascular core. What is the diagnosis?,Fibroadenoma,Fibrocystic changes,Intraductal papilloma,Lobular carcinoma,Carcinoma of the breast,
Set_17: q6,"A 52-year-old woman presents with a large, massive size mass distanding the right breast. Core biopsy of the breast is done. Microscopic examination shows an increased cellularity, stromal overgrowth. What is the diagnosis?",Phyllodes tumor,Fibroadenoma,Medullary carcinoma,Fibrocystic changes,Lobular carcinoma,
Set_17: q7,Which of the following benign breast lesions does NOT have a myoepithelial lining?,Fibroadenoma,Microglandular adenosis,Tubular adenoma,Ductal ectasia,Lipoma,
Set_17: q8,A 61-year-old woman presents with red warm edema - tous skin of the right breast with a diffuse erythema and edema. There is also an orange red thickened skin. What is the diagnosis?,Paget disease of the breast,Inflammatory carcinoma of the breast,Fat necrosis,Apocrine metaplasia,Medullary carcinoma,
Set_17: q9,"A 52-year-old woman presents with ulceration, oozing, crusting and fissuring of the nipple and areola. On exam - ination, there is redness, flaky, and scaly skin on the nipple with an inverted nipple. What is the diagnosis?",Paget disease of the nipple,Medullary carcinoma,Inflammatory carcinoma,Infiltrating ductal carcinoma,Ductal carcinoma in situ  136,
Set_17: q10,Which is the most important prognostic factor for deter - mining outcomes in invasive breast carcinoma?,Age of the patient,Axillary lymph node status,Distance of resection margin to the tumor location in the breast,Estrogen/progesterone receptor (ER/PR) status of Invasive carcinoma,Radiation therapy to the breast and axillary lymph nodes,
Set_17: q11,"A 55-year-old woman has a screening mammogram. The mammographic findings show microcalcifications. An excisional biopsy show pleomorphic cells with cen - tral necrosis, central calcification, and stromal fibrosis. What is the diagnosis?",Apocrine metaplasia,Fat necrosis,Ductal carcinoma in situ (DCIS),Inflammatory carcinoma,Fibrocystic changes,
Set_17: q12,HER-2/NEU receptor gene mutation is seen in which of the following breast disease?,Fibroadenoma,Breast cancer,Apocrine metaplasia,Sclerosing adenosis,Fibrocystic breast changes,
Set_17: q13,"A 24-year-old woman finds a 2 cm mass in the upper outer quadrant of her left breast while taking a shower. She comes to family practice clinic for evaluation. Examination reveals that the mass is nontender, smooth, round, and freely mobile. What is the most likely diagnosis?",Infiltrating ductal carcinoma,Fibroadenoma,Fibrocystic change,"Infiltrating ductal carcinoma, comedo type",Lobular carcinoma in situ,
Set_17: q14,A 55-year-old female presents with a breast lump. Microscopic picture is composed of two cells popula - tion. What is the diagnosis?,Infiltrating carcinoma of the breast,Ductal carcinoma in situ,Adenoid cystic carcinoma of the breast,Inflammatory carcinoma of the breast,Lobular carcinoma of the breast,
Set_17: q15,Which of the following elements in fibrocystic change is having increased risk of breast cancer?,Cyst formation,Epithelial hyperplasia,Apocrine metaplasia,Sclerosing adenosis,Papillomas,
Set_17: q16,"A 29-year-old diabetic female patient presents for evalu - ation of a painful breast mass. On physical examination, there is small, tender nodule in the left breast. Imaging studies show an ill-defined mass with calcifications. Biopsy shows dense fibrosis, lobular atrophy, and aggre - gates of lymphocytes. What is the diagnosis?",Fat necrosis,Granulomatous mastitis,Duct ectasia,Lymphocytic mastitis,Fibroadenoma,
